Date,Currency,Change
March 1 1985,Canadian dollar,51.80128934
March 1 1985,Swiss franc,130.4505006
March 1 1985,Indian rupee,109.2587428
March 1 1985,Chinese renmimbi,-1.890404403
March 1 1985,South African rand,202.4665982
March 1 1985,Australian dollar,109.3491736
April 1 1985,US dollar,42.07964602
April 1 1985,Euro,205.2516411
April 1 1985,Japanese yen,89.76853879
April 1 1985,Pound sterling,137.3080397
April 1 1985,Canadian dollar,68.14562002
April 1 1985,Swiss franc,138.487208
April 1 1985,Indian rupee,124.3683418
April 1 1985,Chinese renmimbi,11.84493898
April 1 1985,South African rand,223.381295
April 1 1985,Australian dollar,147.1590909
May 1 1985,US dollar,38.27433628
May 1 1985,Euro,200.4376368
May 1 1985,Japanese yen,84.65512488
May 1 1985,Pound sterling,130.7136405
May 1 1985,Canadian dollar,63.70875995
May 1 1985,Swiss franc,131.701891
May 1 1985,Indian rupee,119.655307
May 1 1985,Chinese renmimbi,6.389088299
May 1 1985,South African rand,219.7327852
May 1 1985,Australian dollar,151.9628099
July 1 1985,US dollar,38.89380531
July 1 1985,Euro,192.6331145
July 1 1985,Japanese yen,78.53047268
July 1 1985,Pound sterling,117.163505
July 1 1985,Canadian dollar,62.07811907
July 1 1985,Swiss franc,122.3303671
July 1 1985,Indian rupee,114.5741536
July 1 1985,Chinese renmimbi,8.339315626
July 1 1985,South African rand,216.4439877
July 1 1985,Australian dollar,143.4400826
August 1 1985,US dollar,42.52212389
August 1 1985,Euro,182.8592268
August 1 1985,Japanese yen,76.84021045
August 1 1985,Pound sterling,110.3884372
August 1 1985,Canadian dollar,65.14979143
August 1 1985,Swiss franc,107.2580645
August 1 1985,Indian rupee,115.7844832
August 1 1985,Chinese renmimbi,13.73534338
August 1 1985,South African rand,263.6690647
August 1 1985,Australian dollar,132.5929752
October 1 1985,US dollar,42.61061947
October 1 1985,Euro,168.781911
October 1 1985,Japanese yen,60.20285
October 1 1985,Pound sterling,106.1427281
October 1 1985,Canadian dollar,67.50094805
October 1 1985,Swiss franc,94.21579533
October 1 1985,Indian rupee,113.9383122
October 1 1985,Chinese renmimbi,13.74730797
October 1 1985,South African rand,314.696814
October 1 1985,Australian dollar,134.142562
November 1 1985,US dollar,43.14159292
November 1 1985,Euro,165.3537564
November 1 1985,Japanese yen,56.47204094
November 1 1985,Pound sterling,102.8906956
November 1 1985,Canadian dollar,67.9939325
November 1 1985,Swiss franc,92.35261402
November 1 1985,Indian rupee,115.5892688
November 1 1985,Chinese renmimbi,19.2390524
November 1 1985,South African rand,327.9033916
November 1 1985,Australian dollar,139.3595041
January 1 1986,US dollar,44.60176991
January 1 1986,Euro,153.4646244
January 1 1986,Japanese yen,51.72188514
January 1 1986,Pound sterling,104.2457091
January 1 1986,Canadian dollar,73.37883959
January 1 1986,Swiss franc,87.3192436
January 1 1986,Indian rupee,118.6736572
January 1 1986,Chinese renmimbi,25.3170615
January 1 1986,South African rand,333.6587873
January 1 1986,Australian dollar,147.7272727
April 1 1986,US dollar,47.38938053
April 1 1986,Euro,146.2436178
April 1 1986,Japanese yen,37.26847508
April 1 1986,Pound sterling,104.5167118
April 1 1986,Canadian dollar,75.65415245
April 1 1986,Swiss franc,80.33926585
April 1 1986,Indian rupee,129.979363
April 1 1986,Chinese renmimbi,28.41588897
April 1 1986,South African rand,264.028777
April 1 1986,Australian dollar,136.7768595
May 1 1986,US dollar,52.69911504
May 1 1986,Euro,143.9095551
May 1 1986,Japanese yen,35.64470206
May 1 1986,Pound sterling,103.7940379
May 1 1986,Canadian dollar,80.20477816
May 1 1986,Swiss franc,76.94660734
May 1 1986,Indian rupee,136.9959284
May 1 1986,Chinese renmimbi,31.61043312
May 1 1986,South African rand,267.6772867
May 1 1986,Australian dollar,142.5103306
July 1 1986,US dollar,52.69911504
July 1 1986,Euro,141.5025529
July 1 1986,Japanese yen,29.98199926
July 1 1986,Pound sterling,101.1743451
July 1 1986,Canadian dollar,80.39438756
July 1 1986,Swiss franc,70.07786429
July 1 1986,Indian rupee,136.5385688
July 1 1986,Chinese renmimbi,29.70806413
July 1 1986,South African rand,341.0071942
July 1 1986,Australian dollar,170.0413223
August 1 1986,US dollar,59.73451327
August 1 1986,Euro,143.7636761
August 1 1986,Japanese yen,28.64433834
August 1 1986,Pound sterling,119.5121951
August 1 1986,Canadian dollar,88.77512325
August 1 1986,Swiss franc,67.6028921
August 1 1986,Indian rupee,153.3548999
August 1 1986,Chinese renmimbi,59.24862407
August 1 1986,South African rand,366.5467626
August 1 1986,Australian dollar,208.8326446
September 1 1986,US dollar,73.36283186
September 1 1986,Euro,158.5703866
September 1 1986,Japanese yen,39.59050062
September 1 1986,Pound sterling,137.398374
September 1 1986,Canadian dollar,105.9158134
September 1 1986,Swiss franc,77.97552836
September 1 1986,Indian rupee,171.9337386
September 1 1986,Chinese renmimbi,67.64776262
September 1 1986,South African rand,402.8263104
September 1 1986,Australian dollar,231.5082645
October 1 1986,US dollar,88.05309735
October 1 1986,Euro,180.3063457
October 1 1986,Japanese yen,51.77771754
October 1 1986,Pound sterling,165.6729901
October 1 1986,Canadian dollar,123.8528631
October 1 1986,Swiss franc,93.85428254
October 1 1986,Indian rupee,202.1083161
October 1 1986,Chinese renmimbi,89.23187365
October 1 1986,South African rand,385.7142857
October 1 1986,Australian dollar,248.1921488
December 1 1986,US dollar,75.04424779
December 1 1986,Euro,154.8504741
December 1 1986,Japanese yen,48.62052269
December 1 1986,Pound sterling,148.5094851
December 1 1986,Canadian dollar,107.3568449
December 1 1986,Swiss franc,80.11679644
December 1 1986,Indian rupee,186.0951531
December 1 1986,Chinese renmimbi,75.28116774
December 1 1986,South African rand,350.5652621
December 1 1986,Australian dollar,213.3264463
January 1 1987,US dollar,72.03539823
January 1 1987,Euro,146.3894967
January 1 1987,Japanese yen,43.24624869
January 1 1987,Pound sterling,136.8563686
January 1 1987,Canadian dollar,104.778157
January 1 1987,Swiss franc,75.25027809
January 1 1987,Indian rupee,182.2801049
January 1 1987,Chinese renmimbi,71.20124432
January 1 1987,South African rand,337.4100719
January 1 1987,Australian dollar,203.4090909
April 1 1987,US dollar,85.30973451
April 1 1987,Euro,153.3187454
April 1 1987,Japanese yen,42.34435849
April 1 1987,Pound sterling,135.6820235
April 1 1987,Canadian dollar,107.7739856
April 1 1987,Swiss franc,77.2246941
April 1 1987,Indian rupee,201.2828379
April 1 1987,Chinese renmimbi,86.38430246
April 1 1987,South African rand,337.6156218
April 1 1987,Australian dollar,206.1983471
May 1 1987,US dollar,102.1238938
May 1 1987,Euro,171.0430343
May 1 1987,Japanese yen,48.67380673
May 1 1987,Pound sterling,147.2448058
May 1 1987,Canadian dollar,131.8923019
May 1 1987,Swiss franc,85.51167964
May 1 1987,Indian rupee,221.4568576
May 1 1987,Chinese renmimbi,101.8186169
May 1 1987,South African rand,369.9897225
May 1 1987,Australian dollar,235.588843
June 1 1987,US dollar,95.97345133
June 1 1987,Euro,170.5324581
June 1 1987,Japanese yen,49.28610978
June 1 1987,Pound sterling,146.1607949
June 1 1987,Canadian dollar,124.535457
June 1 1987,Swiss franc,87.3192436
June 1 1987,Indian rupee,214.5797312
June 1 1987,Chinese renmimbi,97.75065805
June 1 1987,South African rand,359.9691675
June 1 1987,Australian dollar,220.0413223
July 1 1987,US dollar,97.25663717
July 1 1987,Euro,171.5536105
July 1 1987,Japanese yen,51.56226471
July 1 1987,Pound sterling,149.1418248
July 1 1987,Canadian dollar,124.5733788
July 1 1987,Swiss franc,88.2647386
