Date,Currency,Change
February 29 2000,Pound sterling,4.026845638
February 29 2000,Canadian dollar,1.645992366
February 29 2000,Swiss franc,6.708778044
February 29 2000,Indian rupee,1.442444789
February 29 2000,Chinese renmimbi,1.156790945
February 29 2000,South African rand,4.886561955
February 29 2000,Australian dollar,8.708503865
March 1 2000,US dollar,0.895625215
March 1 2000,Euro,5.841203218
March 1 2000,Japanese yen,6.961247156
March 1 2000,Pound sterling,3.41163311
March 1 2000,Canadian dollar,1.288167939
March 1 2000,Swiss franc,5.881071662
March 1 2000,Indian rupee,1.110547828
March 1 2000,Chinese renmimbi,0.898801598
March 1 2000,South African rand,4.914710353
March 1 2000,Australian dollar,9.936334698
March 2 2000,US dollar,-0.137788495
March 2 2000,Euro,4.931794334
March 2 2000,Japanese yen,6.04286248
March 2 2000,Pound sterling,2.628635347
March 2 2000,Canadian dollar,0.453244275
March 2 2000,Swiss franc,5.05336528
March 2 2000,Indian rupee,0.051487595
March 2 2000,Chinese renmimbi,-0.133155792
March 2 2000,South African rand,3.93514609
March 2 2000,Australian dollar,8.321964529
March 3 2000,US dollar,-0.620048226
March 3 2000,Euro,4.931794334
March 3 2000,Japanese yen,5.408416262
March 3 2000,Pound sterling,2.013422819
March 3 2000,Canadian dollar,-0.095419847
March 3 2000,Swiss franc,5.031583533
March 3 2000,Indian rupee,-0.419821932
March 3 2000,Chinese renmimbi,-0.611684421
March 3 2000,South African rand,5.168045938
March 3 2000,Australian dollar,7.798999545
March 6 2000,US dollar,-0.516706855
March 6 2000,Euro,5.071703393
March 6 2000,Japanese yen,5.527629657
March 6 2000,Pound sterling,2.684563758
March 6 2000,Canadian dollar,0.190839695
March 6 2000,Swiss franc,5.227619255
March 6 2000,Indian rupee,-0.327936377
March 6 2000,Chinese renmimbi,-0.515978695
March 6 2000,South African rand,5.438270562
March 6 2000,Australian dollar,9.140518417
March 7 2000,US dollar,-0.172235618
March 7 2000,Euro,5.841203218
March 7 2000,Japanese yen,5.08779676
March 7 2000,Pound sterling,2.516778523
March 7 2000,Canadian dollar,0.453244275
March 7 2000,Swiss franc,5.946416903
March 7 2000,Indian rupee,0.005544818
March 7 2000,Chinese renmimbi,-0.187250333
March 7 2000,South African rand,6.215166357
March 7 2000,Australian dollar,8.913142337
March 8 2000,US dollar,0.310024113
March 8 2000,Euro,6.400839454
March 8 2000,Japanese yen,5.761980776
March 8 2000,Pound sterling,2.908277405
March 8 2000,Canadian dollar,1.455152672
March 8 2000,Swiss franc,6.403833587
March 8 2000,Indian rupee,0.506162669
March 8 2000,Chinese renmimbi,0.312083888
March 8 2000,South African rand,6.322130271
